title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
,,,,,,
Norway's Surprising Curling Victory over Canada | Day -1 | Winter Olympics 2018 | PyeongChang,uj-U45zUxP4,956160,1657,301,178,0
,,,,,,
If Cute Babies Competed in the Olympic Games | Olympic Channel,x04jgjQ_hLI,10366969,82881,3996,2685,0
,,,,,,
Fencing's Sabre Marvel Fights for Youth Olympic Glory | The Game Changers,h2WLchJNlG4,2904,108,12,6,0
,,,,,,
Usain Bolt | ALL Olympic finals + Bonus round | Top Moments,FuiJHJz4f5Q,3426022,19831,890,782,0
,,,,,,
If Cute Babies Competed in the Winter Games | Olympic Channel,0pJU3jm0zkI,4429173,40658,2349,2354,0
,,,,,,
HOW FAST CAN THE SIDEMEN RUN 100M? - SIDEMEN OLYMPICS,PhsscPvuFn4,3413648,127809,2896,7560,0
,,,,,,
The Pyeongchang 2018 Opening Ceremony Highlights | Winter Olympics 2018 | PyeongChang,gpR3nRvL-9Q,541225,6454,318,398,0
,,,,,,
Top 10 Olympic Moments Beijing 2008 | Top Moments,94piA1_Tv6U,106843,1206,62,85,0
,,,,,,
Skeleton - Men's Heats 1 & 2 | Sochi 2014 Winter Olympics,W8WDgnpvqdo,3195698,6689,729,264,0
,,,,,,
Top Crazy Table Tennis Rallies at the Olympics | Top Moments,jkeUQ76uVx4,443656,2510,120,125,0
,,,,,,
Basketball - USA vs Spain - Men's Gold Final | London 2012 Olympic Games,l9wUr-CK1Y4,3302439,11164,1191,725,0
,,,,,,
EXO at the Winter Olympics -  FULL Performance - PyeongChang 2018 Closing Ceremony | Music Monday,UKCKn5RhbAw,2617372,172728,2121,10828,0
,,,,,,
Women's Beam Final - London 2012 Olympics,VZvoufQy8qc,16097358,0,0,3430,0
,,,,,,
Short Track Speed Skating Recap | Winter Olympics 2018 | PyeongChang,lN3KAJri0Uo,65167,302,19,36,0
,,,,,,
Olympic Opening Ceremonies - A journey through time,jjt-c282q3A,2386788,15310,846,1610,0
,,,,,,
Rio 2016 Opening Ceremony Full HD Replay | Rio 2016 Olympic Games,N_qXm9HY9Ro,2529364,35233,1072,7012,0
,,,,,,
Mr. Bean Live Performance at the London 2012 Olympic Games,CwzjlmBLfrQ,26493093,269271,5352,11116,0
,,,,,,
Yelena Isinbayeva Wins Gold in Pole Vault - Athens 2004 Olympics,GVdOB4nA7eI,2288185,8450,515,433,0
,,,,,,
Athletes Parade - Opening Ceremony | London 2012 Olympics,lnPqFq1lIGg,1044216,2721,125,1425,0
,,,,,,
Men's Judo 100kg Contest for Gold | Rio 2016 Olympics Replay,w84H1S2SPgw,1927821,5645,1730,776,0
,,,,,,
The Complete London 2012 Opening Ceremony | London 2012 Olympic Games,4As0e4de-rI,9552517,68696,3299,9535,0
,,,,,,
"*NEW* CHILLER OLYMPICS In Fortnite Battle Royale! | w/ Muselk, Vikkstar123 & Zerkaa",h5a1ot4vfrU,27165,869,10,258,0
,,,,,,
Opening Ceremony - Beijing 2008 Summer Olympic Games,JsDY1Ha83M8,4416991,13630,630,8600,0
,,,,,,
Triathlon - Men | London 2012 Olympic Games,TGi3HqYrWHE,1124619,3785,323,104,0
